NOM_MUN|COD_MUN|MAP_1990|MUSE_1990|MAP_1991|MUSE_1991|MAP_1992|MUSE_1992|MAP_1993|MUSE_1993|MAP_1994|MUSE_1994|MAP_1995|MUSE_1995|MAP_1996|MUSE_1996|MAP_1997|MUSE_1997|MAP_1998|MUSE_1998|MAP_1999|MUSE_1999|MAP_2000|MUSE_2000|MAP_2001|MUSE_2001|MAP_2002|MUSE_2002|MAP_2003|MUSE_2003|MAP_2004|MUSE_2004|MAP_2005|MUSE_2005|MAP_2006|MUSE_2006|MAP_2007|MUSE_2007
ICONONZO|73352||||||||||||||||||||||||||||||||||||
ILES|52352||||||||||||||||||||||||||||||||||||
IMUÉS|52354||||||||||||||||||||||||||||||||||||
INÍRIDA|94001||||||||||||||||||||||||||||||||||2||
INZÁ|19355|||||||||||||||||||||||||||||||||2|||
IPIALES|52356|||||||||||||||||||||||||||||1||7||2|||
IQUIRA|41357||||||||||||||||||||||||||||||||||||
ISNOS|41359|||||||||||||||||||||||||1||4||1||||1|||
ISTMINA|27361||||||||||||||||||||||||||||||||||16||
ITAGUI|05360||||||||||||||||||||||||||||||||||||
ITUANGO|05361|||||||||||||||||||||||1||||6||34|1|24||8|||
IZA|15362||||||||||||||||||||||||||||||||||||
JAMBALÓ|19364|||||||||||||||||||||||||1||||2||||13|||
JAMUNDÍ|76364|||2||||||||||||||||||||||||1|||||||||
JARDÍN|05364|||||||||||||||||||||||||||||1|||||||
JENESANO|15367||||||||||||||||||||||||||||||||||||
JERICÓ|05368||||||||||||||||||||||||||||||||||||
JERICÓ|15368||||||||||||||||||||||||||||||||||||
JERUSALÉN|25368||||||||||||||||||||||||||||||||||||
JESÚS MARÍA|68368||||||||||||||||||||||||||||||||||||
JORDÁN|68370||||||||||||||||||||||||||||||||||||
JUAN DE ACOSTA|08372||||||||||||||||||||||||||||||||||||
JUNÍN|25372||||||||||||||||||||||||||||||||||||
JURADÓ|27372||||||||||||||||||||||||||||||||||||
LA APARTADA|23350||||||||||||||||||||||||||||||||||||
LA ARGENTINA|41378||||||||||||||||||||||||||4||||||||||
LA BELLEZA|68377|||||||||||||||||||||||||3|||||||||||
LA CALERA|25377||||||||||||||||||||||||||||||||||||
LA CAPILLA|15380||||||||||||||||||||||||||||||||||||
LA CEJA|05376||||||||||||||||||||||||||||||||||||
LA CELIA|66383||||||||||||||||||||||||||||||||||||
LA CHORRERA|91405||||||||||||||||||||||||||||||||||||
LA CRUZ|52378|||||||||||||||||||||||||||||||10|||||
LA CUMBRE|76377|||||||||||||||||||||||||||||1|||||||
LA DORADA|17380|||||||||||||||||||||||||||1|||3||||||
LA ESPERANZA|54385||||||||||||||||||||||||||||||||||||
LA ESTRELLA|05380||||||||||||||||||||||||||||||||||||
LA FLORIDA|52381||||||||||||||||||||||||||||||||||||
LA GLORIA|20383||||||||||||||||||||||||||||||||||||
LA GUADALUPE|94885||||||||||||||||||||||||||||||||||||
LA JAGUA DE IBIRICO|20400|||||||||||||||1||||||||||||1||5||||6|||
LA JAGUA DEL PILAR|44420|||||||||||||||||||11|||||||||||||||||
LA LLANADA|52385|||||||||||||||||||||||||||||||||||1|
LA MACARENA|50350|||||||||||||||||||||||||||||23||4||33||2|
LA MERCED|17388||||||||||||||||||||||||||||||||||||
LA MESA|25386||||||||||||||||||||||||||||||||||||
LA MONTAÑITA|18410|||||||4||3||||||||||||||||21||3||54||13||13|2|6|1
LA PALMA|25394|||||||||||||||||||||||10||2||12|||||||||
LA PAZ|20621||||||||||||||||||||||||||||||||||||
LA PAZ|68397||||||||||||||||||||||||||||||||||||
LA PEDRERA|91407||||||||||||||||||||||||||||||||||||
LA PEÑA|25398|||||||||||||||||||||9||||||1|||||||||
LA PINTADA|05390||||||||||||||||||||||||||||||||||||
LA PLATA|41396|||||||||||3|||||||||||||||||||||||||
LA PLAYA|54398|||||||||||||||||||||||||5||1||||||2||4|
LA PRIMAVERA|99524||||||||||||||||||||||||||||||||||||
LA SALINA|85136|||||||||||||||||||||||||||||6|||||||
LA SIERRA|19392|||||||||||||||||||||||||6|||||||||||
LA TEBAIDA|63401||||||||||||||||||||||||||||||||||||
LA TOLA|52390||||||||||||||||||||||||||||||||||||
LA UNIÓN|05400||||||||||||||||||||||||1|||||5||2|||||
LA UNIÓN|52399||||||||||||||||||||||||||||||||||||
LA UNIÓN|70400|||||||||||||||||||||||||||1|||||||||
LA UNIÓN|76400||||||||||||||||||||||||||||||||||||
LA UVITA|15403||||||||||||||||||||||||||||||||||||
LA VEGA|19397||||||||||||||||5|||||||1|6|2|||||||||||
LA VEGA|25402||||||||||||||||||||||||||||||||||||
LA VICTORIA|15401||||||||||||||||||||||||||||||||||||
LA VICTORIA|76403||||||||||||||||||||||||||||||||||||
LA VICTORIA|91430||||||||||||||||||||||||||||||||||||
LA VIRGINIA|66400||||||||||||||||||||||||||||||||||||
LABATECA|54377||||||||||||||||||||||||||||||||||||
LABRANZAGRANDE|15377|||||||||||||||||||||3||||4||||1||3||2|||
LANDÁZURI|68385||||||||||||||||||||||2|||||1|||||||||
LEBRÍJA|68406||||||||||||||||||||||||||||||||||||
LEGUÍZAMO|86573||||||||||||||||||||||||||||||||||||
LEIVA|52405||||||||||||||||||||||||||||||||||||
LEJANÍAS|50400|||||||||||||7||||||||||||||8||4||5||1|||
LENGUAZAQUE|25407||||||||||||||||||||||||||||||||||||
LÉRIDA|73408||||||||||||||||||||||||||2||||||||||
LETICIA|91001||||||||||||||||||||||||||||||||||||
LÍBANO|73411|||||||||||||||||||||||||||||||||1|||
LIBORINA|05411|||||||||||||||||||||||||||||1|||||||
LINARES|52411||||||||1||||||||||||||||||||||||||||
LLORÓ|27413||||||||||||||||||||||||||||||||||||
LÓPEZ|19418||||||||||||||||||||||||||||||||||||
LORICA|23417||||||||||||||||||||||||||||||||||||
LOS ANDES|52418|||||||||||||||||||||||||||||1||3|1|11|||
LOS CÓRDOBAS|23419||||||||||||||||||||||||||||||||||||
LOS PALMITOS|70418|||||||||||||||||||||||||||||||||4|||
LOS PATIOS|54405||||||||||||||||||||||||||||||||||||
LOS SANTOS|68418||||||||||||||||||||||||||||||||||||
LOURDES|54418||||||||||||||||||||||||||||||||||||
LURUACO|08421||||||||||||||||||||||||||||||||||||
MACANAL|15425||||||||||||||||||||||||||||||||||||
MACARAVITA|68425|||||||||1|||||||||||||||||||||||||||
MACEO|05425||||||||||||||||||||||||||||||||||||
MACHETA|25426|||||||||||||||||||||||||1|||||||||||
MADRID|25430||||||||||||||||||||||||||||||||||||
MAGANGUÉ|13430||||||||||||||||||||||||||||||||||||
MAGÜI|52427||||||||||||||||||||||||||||||||||||
MAHATES|13433||||||||||||||||||||||||||||||||||||
MAICAO|44430||||||||||||||||||||||||||||||||||||
MAJAGUAL|70429|||||||||||||2|||||||||||||||||||||||
MÁLAGA|68432||||||||||||||||||||||||||||||||||||
MALAMBO|08433||||||||||||||||||||||||||||||||||||
MALLAMA|52435|||||||||||||||||||||||||||||||||1|||
MANATÍ|08436||||||||||||||||||||||||||||||||||||
MANAURE|20443||||||||||||||||||||||||||||||||||||
MANAURE|44560||||||||||||||||||||||||||||||||||||
MANÍ|85139||||||||||||||||||||||||||||||||||||
MANIZALES|17001|||||||||||||||||||||||||||1||||||2|||
MANTA|25436||||||||||||||||||||||||||||||||||||
MANZANARES|17433|||||||||||||||||||||||||||||||||1|||
MAPIRIPÁN|50325|||||||||||||||||||||||||4||||1|||||||
MAPIRIPANA|94663||||||||||||||||||||||||||||||||||||
MARGARITA|13440||||||||||||||||||||||||||||||||||||
MARÍA LA BAJA|13442||||||||||||||||||||||||||||||||||||
MARINILLA|05440||||||||||||||||||||||||||||||||||||
MARIPÍ|15442||||||||||||||||||||||||||||||||||||
MARIQUITA|73443|||||||||||||||||||||||||||||||||1|||
MARMATO|17442||||||||||||||||||||||||||||||||||||
MARQUETALIA|17444||||||||||||||||||||||||||||||||||||
MARSELLA|66440||||||||||||||||||||||||||||||||||||
MARULANDA|17446|||||||||||||||||||||||||||||||||7||1|
MATANZA|68444|||||||2||||3||||||||||||8||3||2||1|1||||||
MEDELLÍN|05001||||4||||||||||||||2||8||||1|1|3|2|5|1|||||3||
MEDINA|25438|||||||||||||||||1||||||||1|||||||||||
MEDIO ATRATO|27425||||||||||||||||||||||||||||||||||||
MEDIO BAUDÓ|27430||||||||||||||||||||||||||||||||||||
MEDIO SAN JUAN|27450||||||||||||||||||||||||||||||||||||
MELGAR|73449||||||||||||||||||||||||||||||||||||
MERCADERES|19450||||||||||||||||||||||||||||||||||||
MESETAS|50330|||3||||||||||||||||||||||6||12||11||8||1|||
MILÁN|18460|||||||||||||||||||||||||4||2||4||2|||3||
MIRAFLORES|15455||||||||||||||||||||||||||||||||||||
MIRAFLORES|95200||||||||||||||||||1|||||||||||||1|||||
MIRANDA|19455|||||||1||||4|||||||||||||||1|||||||||1|
MIRITI - PARANÁ|91460||||||||||||||||||||||||||||||||||||
MISTRATÓ|66456|||||||||||||||||||||||||||1||||||4|||
MITÚ|97001|||||||||||||||||||||1||||4||8||11|||2||||
MOCOA|86001|||||||||||||||||||||||||||1||1||||3|||
MOGOTES|68464||||||||||||||||||||||||||||||||||||
MOLAGAVITA|68468||||||||||||||||||||||||||||||||||||
MOMIL|23464||||||||||||||||||||||||||||||||||||
MOMPÓS|13468||||||||||||||||||||||||||||||||||||
MONGUA|15464||||||||||||||||||||||||||||||||||||
MONGUÍ|15466||||||||||||||||||||||||||||||||||||
MONIQUIRÁ|15469||||||||||||||||||||||||||||||||||||
MOÑITOS|23500||||||||||||||||||||||||||||||||||||
MONTEBELLO|05467|||||||||||||||||||||||||||2|||4||||||
MONTECRISTO|13458|||||||||||||||||||||1||1||3||||1|||||||
MONTELÍBANO|23466|||||||||||||||||||||||||||||2||2||4|||
MONTENEGRO|63470||||||||||||||||||||||||||4||||||||||
MONTERÍA|23001|||||||||||||||||||||||||||||||1|||||
MONTERREY|85162||||||||||||||||||||||||||||||||||||
MORALES|13473|||2||6||9||||34||||||||||||2||2||10||1|||||||
MORALES|19473|||||||||||||||||||||||||||||||||14|||
MORELIA|18479|||||||||||||||||||||||3||||2|||||||||
MORICHAL|94888||||||||||||||||||||||||||||||||||||
MORROA|70473||||||||||||||||||||||||||||||||||||
MOSQUERA|25473||||||||||||||||||||||||||||||||||||
MOSQUERA|52473||||||||||||||||||||||||||||||||||||
MOTAVITA|15476||||||||||||||||||||||||||||||||||||
MURILLO|73461||||||||||||||||||||||||||||||||||||
MURINDÓ|05475|||||||||||||||||||||||||2||1||2|||||||
MUTATÁ|05480|||||||1|7|||||||||1|7|1||||1||||2||||6||3||4|
MUTISCUA|54480||||||||||||||||||||||||||||||||||||
MUZO|15480||||||||||||||||||||||||||||||||||||
NARIÑO|05483|||||||||||||||||||||1||||||3||6||1||4||1|
NARIÑO|25483||||||||||||||||||||||||||||||||||||
NARIÑO|52480||||||||||||||||||||||||||||||||||||
NÁTAGA|41483||||||||||||||||||||||||||||||||||||
NATAGAIMA|73483||||||||||||||||||||||||||5||||||||||
NECHÍ|05495|9||||||4||||||||||||||||||||||||1|||||
NECOCLÍ|05490|||||||||||||||||||||||||1|||||||||||
NEIRA|17486||||||||||||||||||||||||||||||||||||
NEIVA|41001|||||||||||||||||||||||||1||||||5||4|||
NEMOCÓN|25486||||||||||||||||||||||||||||||||||||
NILO|25488|||||||||||||||||||||||||||||4|||||||
NIMAIMA|25489||||||||||||||||||||||||||||||||||||
NINGUNO|01001||||||||||||||||||||||||||||||||||||
NOBSA|15491||||||||||||||||||||||||||||||||||||
NOCAIMA|25491||||||||||||||||||||||||||||||||||||
NORCASIA|17495|||||||||||||||||||||||||||||3||2|||||
NÓVITA|27491|||||||||||||||||||||||||||||||2|||||
NUEVA GRANADA|47460||||||||||||||||||||||||||||||||||||
NUEVO COLÓN|15494||||||||||||||||||||||||||||||||||||
NUNCHÍA|85225||||||||||||||||||||||||||||||||||||
NUQUÍ|27495||||||||||||||||||||||||||||||||||||
OBANDO|76497||||||||||||||||||||||||||||||||||||
OCAMONTE|68498||||||||||||||||||||||||||||||||||||
OCAÑA|54498|||||2||||||||||||||||||||5|||||||||||
OIBA|68500||||||||||||||||||||||||||||||||||||
OICATÁ|15500||||||||||||||||||||||||||||||||||||
OLAYA|05501||||||||||||||||||||||||||||||||||||
OLAYA HERRERA|52490||||||||||||||||||||||||||||||||||||
ONZAGA|68502||||||||||||||||||||||||||||||||||||
OPORAPA|41503||||||||||||||||||||||||||||||||||||
ORITO|86320||||||||5|||||||||||||||1||1||7||5|||||||
OROCUÉ|85230||||||||||||||||||||||||||||||||||||
ORTEGA|73504|||||||||||||||||||||||||2||5||8||15||||7|
OSPINA|52506||||||||||||||||||||||||||||||||||||
OTANCHE|15507|||||||||||||||||||||||||1|||||||||||
OVEJAS|70508|||||||||||||3||||||||||||21||1||3||4||1||1|
PACHAVITA|15511||||||||||||||||||||||||||||||||||||
PACHO|25513||||||||||||||||||||||||||||||||||||
PACOA|97511||||||||||||||||||||||||||||||||||||
PÁCORA|17513|||||||||||||||||||||||||4||||2||||1|||
PADILLA|19513||||||||||||||||||||||||||||||||||||
PÁEZ|15514|||||||||||||||||||||2|||||||||||||||
PAEZ|19517|||||||||||||||||||||||||||||||||2|4||
PAICOL|41518||||||||||||||||||||||||||||||||||||
PAILITAS|20517|||||||||2||||||||||||||||8||||||2|||||
PAIME|25518||||||||||||||||||||||||||||||||||||
PAIPA|15516||||||||||||||||||||||||||||||||||||
PAJARITO|15518|||||||1||1||4||||||||||||||||||2||3||3|||
PALERMO|41524||||||||||||||||||||||||||||||||||||
PALESTINA|17524||||||||||||||||||||||||||||||||||||
PALESTINA|41530||||||||||||||||||||||||||||||||||||
PALMAR|68522||||||||||||||||||||||||||||||||||||
PALMAR DE VARELA|08520||||||||||||||||||||||||||||||||||||
PALMAS DEL SOCORRO|68524||||||||||||||||||||||||||||||||||||
PALMIRA|76520|||||||||||||||||||||||||1||||3|||||||
PALMITO|70523||||||||||||||||||||||||||||||||||||
PALOCABILDO|73520||||||||||||||||||||||||||||||||||||
PAMPLONA|54518||||||||||||||||||||||||||||||||||||
PAMPLONITA|54520||||||||||||||||||||||||||||||||||||
PANA PANA|94887||||||||||||||||||||||||||||||||||||
PANDI|25524||||||||||||||||||1||||||||||||||||||
PANQUEBA|15522||||||||||||||||||||||||||||||||||||
PAPUNAUA|97777||||||||||||||||||||||||||||||||||||
PÁRAMO|68533||||||||||||||||||||||||||||||||||||
PARATEBUENO|25530||||||||||||||||||||||||||||||||||||
PASCA|25535|||||||||||||||||||||||||1||||1|||||||
PASTO|52001||||||||||||||||||||||||||||||||||||
PATÍA|19532|||||||||||||||||||||||||1||4||1||1||9|1||
PAUNA|15531|||||||||2|||||||||||||||||||||||||||
PAYA|15533|2||||||||||||||||||||||||||||||||2|||
PAZ DE ARIPORO|85250|||||||||||||||||||||||||||||||||||2|
PAZ DE RÍO|15537||||||||||||||||||||||||||||||||||||
PEDRAZA|47541||||||||||||||||||||||||||||||||||||
PELAYA|20550|||||||||||||7||||5||||||1||||||||2|||||
PEÑOL|05541|||||||||||||||||||||1||||||||2|||||||
PENSILVANIA|17541|||||||||||||||||||||||||||6||1||||4||1|
PEQUE|05543|||||||||||||||||||||||||||||||2||1|||
PEREIRA|66001||||||||||||||||||||||||||2||||||||||
PESCA|15542||||||||||||||||||||||||||||||||||||
PIAMONTE|19533||||||||||||||||||||||||||||||||||||
PIEDECUESTA|68547|||||||||||2|||||||||||||||||||||||||
PIEDRAS|73547||||||||||||||||||||||||||||||||||||
PIENDAMÓ|19548||||||||||||||||||||||||||||||||||||
PIJAO|63548|||||||||||||||||||||||7||||||||||||4|
PIJIÑO DEL CARMEN|47545||||||||||||||||||||||||||||||||||||
PINCHOTE|68549||||||||||||||||||||||||||||||||||||
PINILLOS|13549|||||||||||||||||||||2||||1|||||||||||
PIOJÓ|08549||||||||||||||||||||||||||||||||||||
PISBA|15550|||||||||||||||||||||||1|||5|1||||||3|||
PITAL|41548||||||||||||||||||||||||||||||||||||
PITALITO|41551|||||||||||||||||||||||||2|||||||||||
PIVIJAY|47551||||||||||||||||||||||||||||||||||||
PLANADAS|73555|||||||||||||||||||||||||||||||26||40||14|
PLANETA RICA|23555||||||||||||||||||||||||||||||||||||
PLATO|47555||||||||||||||||||||||||||||||||||7||
POLICARPA|52540|||||||||||||||||||||||||||||||14||4|||
POLONUEVO|08558||||||||||||||||||||||||||||||||||||
PONEDERA|08560||||||||||||||||||||||||||||||||||||
POPAYÁN|19001|||||||||||||||||||||||3||||||3|||||||
PORE|85263||||||||||||||||||||||||||||||||||||
POTOSÍ|52560||||||||||||||||||||||||||||||||||||
PRADERA|76563|||||||||||||||||||||||||||||||2||1|||
PRADO|73563|||||||||||||||||||||||||||||||2|||||
PROVIDENCIA|52565||||||||||||||||||||||||||||||||||||
PROVIDENCIA|88564||||||||||||||||||||||||||||||||||||
PUEBLO BELLO|20570|||||||||5||||||||||||||||2||||||5|||||
PUEBLO NUEVO|23570||||||||||||||||||||||||||||||||||||
PUEBLO RICO|66572|||||||||||||||||||||||||||||||1|||||
PUEBLORRICO|05576||||||||||||||||||||||||||||||||||||
PUEBLOVIEJO|47570||||||||||||||||||||||||||||||||||||
PUENTE NACIONAL|68572||||||||||||||||||||||||||||||||||||
PUERRES|52573||||||||||2|||||||||||||4|||||||||||||
PUERTO ALEGRÍA|91530||||||||||||||||||||||||||||||||||||
PUERTO ARICA|91536||||||||||||||||||||||||||||||||||||
PUERTO ASÍS|86568|||||||||||2||||2||||||||||2||6||12||15||2|||
PUERTO BERRÍO|05579|||||||||||||||||||||||||||||||||3|||
PUERTO BOYACÁ|15572||||||||||||||||||||||||||||||||||||
PUERTO CAICEDO|86569|||||||||||||||||||||||3||||3||9||5||2|||
PUERTO CARREÑO|99001|||||||||||||||||||||||||||||||||2|||
PUERTO COLOMBIA|08573||||||||||||||||||||||||||||||||||||
PUERTO COLOMBIA|94884||||||||||||||||||||||||||||||||||||
PUERTO CONCORDIA|50450|||||||||||||||||||||||||||3||1|||||||
PUERTO ESCONDIDO|23574||||||||||||||||||||||||||||||||||||
PUERTO GAITÁN|50568|||||||||||||||||||||||||||||1||||18|||
PUERTO GUZMÁN|86571|||||||||||||||||||||||||3||7||1||1||1|||
PUERTO LIBERTADOR|23580|||||||||||||||||||||||||||||4||7||4||2|
PUERTO LLERAS|50577|||||||||||||||||||||||||||10||||2|||||
PUERTO LÓPEZ|50573||||||||||||||||||||||||||||||||||||
PUERTO NARE|05585||||||||||||||||||||||||||||||||||||
PUERTO NARIÑO|91540||||||||||||||||||||||||||||||||||||
PUERTO PARRA|68573||||||||||||||||||||||||||||||||||||
PUERTO RICO|18592|||||||||2||||1||||||||||||3||||||||11||14|
PUERTO RICO|50590|||||||||||||||||||||||||||11|2|5||23||17|1||
PUERTO RONDÓN|81591|||||||||||||||||||||||1||1||||3||3||1|||
PUERTO SALGAR|25572||||||||||||||||||||||||||||||||||||
PUERTO SANTANDER|54553||||||||||||||||||||||||||||||||||||
PUERTO SANTANDER|91669||||||||||||||||||||||||||||||||||||
PUERTO TEJADA|19573||||||||||||||||||||||||||||||||||||
PUERTO TRIUNFO|05591|||||||||||||2|||||||||||||||||||||||
PUERTO WILCHES|68575|||||||||||||||||||||||2|||||||||||||
PULÍ|25580|||||||||||||||||||||2||1|||||||||||||
PUPIALES|52585||||||||||||||||||||||||||||||||||||
PURACÉ|19585|||||||||||||||||||||||||5|||||||||||1
PURIFICACIÓN|73585||||||||||||||||||||||||||||||||||||
PURÍSIMA|23586||||||||||||||||||||||||||||||||||||
QUEBRADANEGRA|25592|||||||||||||||||||||||||2|||||||||||
QUETAME|25594|||||||||||||||||||||||||||||||||1|||
QUIBDÓ|27001|||||||||||||||||||||||1||||||||||3|||
QUIMBAYA|63594||||||||||||||||||||||||||||||||||||
QUINCHÍA|66594|||||||||||||||||||||||||||2|||||1||||
QUÍPAMA|15580||||||||||||||||||||||||||||||||1||||
QUIPILE|25596||||||||||||||||||||||||||||||||||||
RAGONVALIA|54599||||||||||||||||||||||||||||||||||||
RAMIRIQUÍ|15599||||||||||||||||||||||||||||||||||||
RÁQUIRA|15600||||||||||||||||||||||||||||||||||||
RECETOR|85279||||||||||||||||||||||||||||||||||||
REGIDOR|13580|||||||||||||||||||||||||||||2|||||||
REMEDIOS|05604|||||2||||||||||5||1||||2||6||9||1||||7||1|||
REMOLINO|47605||||||||||||||||||||||||||||||||||||
REPELÓN|08606||||||||||||||||||||||||||||||||||||
RESTREPO|50606||||||||||||||||||||||||||||||||||||
RESTREPO|76606||||||||||||||||||||||||||||||||||||
RETIRO|05607||||||||||||||||||||||||||||||||||||
RICAURTE|25612||||||||||||||||||||||||||||||||||||
RICAURTE|52612|||||||||||||||||||||||||||||||2||3||4|
RÍO DE ORO|20614||||||||||||||||||||||||||||||||||||
RÍO IRO|27580||||||||||||||||||||||||||||||||||||
RÍO QUITO|27600||||||||||||||||||||||||||||||||||||
RÍO VIEJO|13600|||||||2||||||||||||||||||||||1|||||||
RIOBLANCO|73616|||||||||||1||||||2||||||||||||2||||2||6|
RIOFRÍO|76616||||||||||||||||||||||3|||||||||||1|||
RIOHACHA|44001|||||||||||||||||||||||||||||||12|||||
RIONEGRO|05615|||||||||||||1|||||||||||||||||||||||
RIONEGRO|68615|||||||3||1||||||||||||1|1|2|||||||||||||
RIOSUCIO|17614|||||||||4||||||||||||||||||4||1||||1|||
RIOSUCIO|27615|||||||||||||||1||||||||||5|3||||||||||
RISARALDA|17616||||||||||||||||||||||||1||||||||||||
RIVERA|41615||||||||||||||||||||||||||||||||||||
ROBERTO PAYÁN|52621|||||||||||||||||||||||||1||1|||||||||
ROLDANILLO|76622||||||||||||||||||||||||||||||||||||
RONCESVALLES|73622|||||||||||||||||||||||||||||6|||||||
RONDÓN|15621||||||||||||||||||||||||||||||||||||
ROSAS|19622||||||||||||||||||||||||||||||||||||
ROVIRA|73624|||||||||||||||||||||||||5||||6||4||5|||
SABANA DE TORRES|68655|||||||||||||||||||||3||7||6||1||||2||3||3|
SABANAGRANDE|08634||||||||||||||||||||||||||||||||||||
SABANALARGA|05628||||||||||||||||||||||||||||||||||||
SABANALARGA|08638|||||||||||||||2|||||||||||||||||||||
SABANALARGA|85300||||||||||||||||||||||||||||||||||||
SABANAS DE SAN ANGEL|47660||||||||||||||||||||||||||||||||||||
SABANETA|05631||||||||||||||||||||||||||||||||||||
SABOYÁ|15632||||||||||||||||||||||||||||||||||||
SÁCAMA|85315|||||||1||||||||||4||||||||||1||||7||8|||
SÁCHICA|15638||||||||||||||||||||||||||||||||||||
SAHAGÚN|23660||||||||||||||||||||||||||||||||||||
SALADOBLANCO|41660||||||||||||||||||||||||||||||||||||
SALAMINA|17653|||||||||||||||||||||||||||||||1|||||
SALAMINA|47675|||||||||||||||||||||||||||||1|||||||
SALAZAR|54660||||||||||||||||1||||||||||1||||||||||
SALDAÑA|73671||||||||||||||||||||||||||||||||||||
SALENTO|63690||||||||||||||||||||||||||||||||||||
SALGAR|05642||||||||||||||||||||||||||||||||||||
SAMACÁ|15646||||||||||||||||||||||||||||||||||||
SAMANÁ|17662|||||||||||||||||||||||||6||10||9||21||27|1|13|
SAMANIEGO|52678|||||||||||||||||||||||||||||||2||16||10|
SAMPUÉS|70670||||||||||||||||||||||||||||||||||||
SAN AGUSTÍN|41668||||||||||||||||||||||||||||||||||||
SAN ALBERTO|20710|||||||||||||1|||||||||||||||||||||||
SAN ANDRÉS|05647||||||||||||||||||||||||||||||||||||
SAN ANDRÉS|68669||||||||||||||||||||||||||||||||||||
SAN ANDRÉS|88001||||||||||||||||||||||||||||||||||||
SAN ANDRÉS SOTAVENTO|23670||||||||||||||||||||||||||||||||||||
SAN ANTERO|23672||||||||||||||||||||||||||||||||||||
SAN ANTONIO|73675|||||||||||||||||||||||||||||||||2||1|
SAN ANTONIO DEL TEQUENDAMA|25645||||||||||||||||||||||||||||||||||||
SAN BENITO|68673||||||||||||||||||||||||||||||||||||
SAN BENITO ABAD|70678|||||||||||||||||||||||||||||1|||||||
SAN BERNARDO|25649|||||||||||||||2||||||||||2|||||||||||
SAN BERNARDO|52685||||||||||||||||||||||||||||||||||||
SAN BERNARDO DEL VIENTO|23675||||||||||||||||||||||||||||||||||||
SAN CALIXTO|54670|||||||||||||||||||||||14||9||||||||11||3|
SAN CARLOS|05649|||||||||||||||||||||1|7|4||17||16||39||30||12||6|
SAN CARLOS|23678||||||||||||||||||||||||||||||||||||
SAN CARLOS DE GUAROA|50680||||||||||||||||||||||||||||||||||||
SAN CAYETANO|25653||||||||||||||||||||||||||||||||||||
SAN CAYETANO|54673||||||||||||||||||||||||||||||||||||
SAN CRISTÓBAL|13620||||||||||||||||||||||||||||||||||||
SAN DIEGO|20750||||||||||||||||||||||||||||||||||||
SAN EDUARDO|15660||||||||||||||||||||||||||||||||||||
SAN ESTANISLAO|13647||||||||||||||||||||||||||||||||||||
SAN FELIPE|94883||||||||||||||||||||||||||||||||||||
SAN FERNANDO|13650||||||||||||||||||||||||||||||||||||
SAN FRANCISCO|05652|||||||||||||||||||||||7|1|1||7|1|35||45||5||2|
SAN FRANCISCO|25658||||||||||||||||||||||||||||||||||||
SAN FRANCISCO|86755||||||||||||||||||||||||||||||||||||
SAN GIL|68679||||||||||||||||||||||||||||||||||||
SAN JACINTO|13654|||||||||||||||||||||||||2||3|2|||2||1||2|
SAN JACINTO DEL CAUCA|13655||||||||||||||||||||||||||||||||||||
SAN JERÓNIMO|05656||||||||||||||||||||||||1||||||||||||
SAN JOAQUÍN|68682||||||||||||||||||||||||||||||||||||
SAN JOSÉ|17665||||||||||||||||||||||||||||||||||||
SAN JOSÉ DE LA MONTAÑA|05658|||||||||||||||||||||||||||||3|||||||
SAN JOSÉ DE MIRANDA|68684||||||||||||||||||||||||||||||||||||
SAN JOSÉ DE PARE|15664||||||||||||||||||||||||||||||||||||
SAN JOSÉ DEL FRAGUA|18610|||||||||||||||||||||||||||||1|||||||
SAN JOSÉ DEL GUAVIARE|95001|||4||||||1||||22||||||||||||||4||12||10|7|8|||16
SAN JOSÉ DEL PALMAR|27660|||||||||||||||||||||||||||3||||||2|||
SAN JUAN DE ARAMA|50683|||||||||||||||||||||||||||3||11|2|9|2|15||1|
SAN JUAN DE BETULIA|70702||||||||||||||||||||||||||||||||||||
SAN JUAN DE RÍO SECO|25662|||||||||||1|||||||||||||||||||||||||
SAN JUAN DE URABÁ|05659||||||||||||||||||||||||||||||||||||
SAN JUAN DEL CESAR|44650|||||||||||||||||||||||||7||||||||2|||
SAN JUAN NEPOMUCENO|13657|||||||||||||||||||||||||||||||3||6|||
SAN JUANITO|50686|||||||||||||3||1||||||||5||||||4||||3|||
SAN LORENZO|52687||||||||||||||||||||||||||||2||||||||
SAN LUIS|05660|||||||||||||1||1||||||||||6||14||29||5||13||2|
SAN LUIS|73678||||||||||||||||||||||||||||||||||||
SAN LUIS DE GACENO|15667||||||||||||||||||||||||||||||||||||
SAN LUIS DE PALENQUE|85325||||||||||||||||||||||||||||||||||||
SAN MARCOS|70708||||||||||||||||||||||||||||||||||||
SAN MARTÍN|20770|||||||||||||||||||||||||3|||||||||||
SAN MARTÍN|50689||||||||||||||||||||||||||||||||||||
SAN MARTÍN DE LOBA|13667|||11||||||4||||||||||1||1|||||||||||||||
SAN MATEO|15673||||||||||||||||||||||||||||||||||||
SAN MIGUEL|68686|||||||||||||||||||||||||5||3|||||||||
SAN MIGUEL|86757|||||||||||||||||||||||||||||||||||1|
SAN MIGUEL DE SEMA|15676||||||||||||||||||||||||||||||||||||
SAN ONOFRE|70713|||||||||||||||||||4||||||||||1||||2|||
